id,detected_at,status,severity,area,feature,summary,steps_to_reproduce,expected_result,actual_result,console_errors,url,app_state,notes
BUG-0001,2026-04-23T18:48:00.015637+00:00,fixed,blocker,dev-runtime,launch/automation,Renderer crashes when opened outside Electron shell because IPC bridge is undefined,1. Start app with npm run dev:renderer 2. Open http://localhost:5173 in browser automation 3. Observe unsupported desktop runtime screen,Automation should be able to reach a testable app surface or the renderer should fail gracefully with a clear unsupported-environment state,"Page renders a clear unsupported desktop runtime diagnostic instead of mounting IPC-backed providers; Playwright check on 2026-05-26 saw .unsupported-shell visible with no console errors or page errors",none,http://localhost:5173/,npm run dev:renderer active; browser automation via Playwright chromium,Fixed by guarding App before WorkspaceProvider/PiSettingsProvider/shortcut IPC providers mount; screenshot: output/playwright/browser-unsupported-shell.png
BUG-0002,2026-04-23T19:07:15.938094+00:00,fixed,blocker,desktop-automation,electron-qa-harness,Automation-launched Electron process reaches app ready state but never creates a BrowserWindow,1. Start npm run dev:renderer 2. Launch CHATON_EXPECTED_MODEL='gpt-5.5' CHATON_ELECTRON_SMOKE_FLOW=startup npm run qa:electron-smoke:dev 3. Inspect process state via Playwright Electron driver,A real Electron app window should be created so the QA harness can drive the desktop UI,"Electron automation created one visible BrowserWindow and loaded http://localhost:5173/?language=fr; smoke verified expectedModelVisible=true for gpt-5.5 with no console/network/main-process failures",none,http://localhost:5173/?language=fr,npm run dev:renderer active; qa:electron-smoke:dev passed on 2026-05-26,Fixed by current automation instance/window startup path; keep qa:electron-smoke:dev as regression coverage for BrowserWindow creation.
BUG-0003,2026-05-26T03:43:00+02:00,fixed,high,release-qa,mac-release-smoke,Mac release smoke scenarios could inherit conflicting QA environment variables from the parent shell,"1. Export CHATON_ELECTRON_SMOKE_BLANK_USER_DATA=1 and CHATON_ELECTRON_SMOKE_PROMPT=leak 2. Run npm run qa:release-smoke:mac:full 3. Inspect which flags reach each DMG smoke step",Each release step should receive only the environment required for that scenario; metadata should not depend on model settings and blank onboarding should not assert a model,"Added scripts/qa/mac-release-smoke.mjs env isolation and self-test. Dry-run now shows release metadata without CHATON_EXPECTED_MODEL, startup steps without leaked prompts, blank onboarding without expected model, and prompt smoke with a fixed release prompt.",none,n/a,"npm run qa:release-smoke:mac:self-test:env; npm run qa:release-smoke:mac:full:dry-run; npm run qa:release-smoke:mac passed",Keep qa:release-smoke:mac:self-test:env as a cheap regression gate before long DMG runs.
BUG-0004,2026-05-26T04:02:00+02:00,fixed,medium,release-qa,dmg-smoke,Direct DMG smoke behavior could only be verified by mounting a DMG and running the app,"1. Change CHATON_ELECTRON_SMOKE_BLANK_USER_DATA or CHATON_EXPECTED_MODEL in the shell 2. Run npm run qa:dmg-smoke 3. Infer expected model behavior only after a full DMG mount and Electron launch",The DMG smoke script should expose a fast deterministic plan/self-test for expected-model and userData semantics before touching release artifacts,"Added CHATON_DMG_SMOKE_DRY_RUN and CHATON_DMG_SMOKE_SELF_TEST=env. Blank userData without explicit CHATON_EXPECTED_MODEL now removes the model assertion; default smoke still asserts gpt-5.5; explicit model is preserved.",none,n/a,"npm run qa:dmg-smoke:self-test:env; npm run qa:dmg-smoke:dry-run; CHATON_ELECTRON_SMOKE_BLANK_USER_DATA=1 npm run qa:dmg-smoke:dry-run; npm run qa:dmg-smoke passed",Use qa:dmg-smoke:self-test:env for fast validation and qa:dmg-smoke for the real mounted DMG path.
BUG-0005,2026-05-26T04:22:00+02:00,fixed,medium,release-qa,reliability-smoke,Reliability smoke could inherit CHATON_EXPECTED_MODEL from the parent shell,"1. Export CHATON_EXPECTED_MODEL=litellm/custom 2. Run npm run qa:reliability-smoke:release 3. Inspect DMG and mac release dry-run model assertions",The reliability gate should assert the same production baseline model regardless of parent-shell model variables,"Reliability smoke now clears inherited CHATON_EXPECTED_MODEL and forces gpt-5.5 for DMG and mac release dry-run steps. Its env-isolation self-test asserts that both steps use gpt-5.5.",none,n/a,"CHATON_EXPECTED_MODEL=litellm/custom npm run qa:reliability-smoke:self-test:env; CHATON_EXPECTED_MODEL=litellm/custom npm run qa:reliability-smoke:release",Keep CHATON_EXPECTED_MODEL out of inherited reliability-smoke env unless a future script adds an explicit override flag.
BUG-0006,2026-05-26T04:40:00+02:00,fixed,high,release-qa,prod-ready-smoke,Prod-ready smoke could be weakened by inherited skip flags,"1. Export CHATON_PROD_READY_SKIP_TESTS=1 and CHATON_PROD_READY_SKIP_AUDIT=1 2. Run npm run qa:prod-ready-smoke:release 3. Observe that unit tests and npm audit are omitted",The default prod-ready gate should always include unit tests and audit; reduced gates must be explicit and visible,"Prod-ready smoke now ignores skip flags unless CHATON_PROD_READY_ALLOW_REDUCED=1 is set. Added dry-run output and a required-steps self-test that asserts reliability, lint, typecheck, unit tests, audit, and final hygiene are present.",none,n/a,"CHATON_PROD_READY_SKIP_TESTS=1 CHATON_PROD_READY_SKIP_AUDIT=1 npm run qa:prod-ready-smoke:self-test:required; CHATON_PROD_READY_SKIP_TESTS=1 CHATON_PROD_READY_SKIP_AUDIT=1 npm run qa:prod-ready-smoke:release:dry-run",Keep reduced prod-ready runs behind CHATON_PROD_READY_ALLOW_REDUCED=1 so normal release gates cannot be silently weakened.
BUG-0007,2026-05-26T04:58:00+02:00,fixed,medium,release-qa,prod-ready-smoke,Prod-ready smoke did not include a production build path,"1. Run npm run qa:prod-ready-smoke:release 2. Observe that reliability, lint, typecheck, tests, audit, and hygiene run 3. Notice no renderer or Electron production build is executed",A release-oriented local gate should optionally prove the production renderer and Electron bundles compile without forcing full DMG packaging,"Added CHATON_PROD_READY_INCLUDE_BUILD=1 and npm scripts for build-enabled prod-ready smoke. The build mode runs npm run build after tests and audit, then final hygiene. Dry-run and build-steps self-test prove production build ordering.",none,n/a,"npm run qa:prod-ready-smoke:self-test:build; npm run qa:prod-ready-smoke:release:build:dry-run; npm run qa:prod-ready-smoke:release:build",Use qa:prod-ready-smoke:release:build before packaging or publishing when a full DMG rebuild is not required.
BUG-0008,2026-05-26T05:08:00+02:00,fixed,medium,release-qa,prod-ready-smoke,Prod-ready smoke child steps inherited unrelated QA environment variables,"1. Export CHATON_ELECTRON_SMOKE_PROMPT=leak CHATON_DMG_SMOKE_DRY_RUN=1 CHATON_QA_TEMP_ROOT=/tmp/qa-leak 2. Run npm run qa:prod-ready-smoke:release:build 3. Child lint/typecheck/test/audit/build/hygiene processes inherit unrelated QA flags","Prod-ready child commands should receive only the environment needed for that step, with release/build flags forwarded explicitly","Prod-ready smoke now clears inherited QA/prod-ready environment variables before spawning each step and forwards only the reliability release flag. Added env-isolation self-test and dry-run effectiveEnv output.",none,n/a,"CHATON_ELECTRON_SMOKE_PROMPT=leak CHATON_DMG_SMOKE_DRY_RUN=1 CHATON_QA_TEMP_ROOT=/tmp/qa-leak npm run qa:prod-ready-smoke:self-test:env; same polluted env with npm run qa:prod-ready-smoke:release:build:dry-run",Keep prod-ready child env isolated; add new QA variables to inheritedQaEnvToClear when new smokes are introduced.
BUG-0009,2026-05-26T10:18:00+02:00,fixed,medium,desktop-automation,electron-smoke,Electron smoke rejected provider-qualified expected model keys when the UI displayed only the model id,"1. Set CHATON_EXPECTED_MODEL=litellm/gpt-5.5 2. Run a prompt smoke against the file build 3. Observe that the prompt succeeds and the UI shows gpt-5.5 but the smoke exits with expected-model-not-visible",A provider-qualified model assertion should pass when the rendered UI shows the selected model id and the real prompt flow succeeds,"scripts/qa/electron-smoke.mjs now checks both the full model key and the final model id suffix for expected-model visibility. The smoke reports expectedModelNeedles for debugging.",none,file:///Users/thibaut/gitRepo/chaton/dist/index.html?language=fr,"CHATON_EXPECTED_MODEL=litellm/gpt-5.5 prompt smoke returned CHATON_GPT55_OK but failed before this fix because only gpt-5.5 was visible",Keep expected-model assertions provider-aware without requiring compact model picker labels to duplicate provider prefixes.
BUG-0010,2026-05-26T10:26:00+02:00,fixed,medium,release-qa,build-output-smoke,Prod-ready build mode did not verify that required build artifacts were actually emitted,"1. Run npm run qa:prod-ready-smoke:release:build 2. Observe npm run build exits successfully 3. No follow-up check proves dist/index.html, dist-electron Electron entrypoints, copied assets, bundled npm, or built-in extension UI assets exist",Build-enabled prod-ready gates should assert the release-critical output files after the production build completes,"Added scripts/qa/build-output-smoke.mjs, package script qa:build-output-smoke, and integrated the check immediately after production build in prod-ready smoke. The build self-test now requires build output smoke ordering.",none,n/a,"npm run qa:build-output-smoke validates current build outputs; npm run qa:prod-ready-smoke:self-test:build validates prod-ready ordering",Keep artifact presence checks close to the build step so packaging regressions are caught before DMG release smoke.
